s_noun	s_noun_freq	s_noun_nfreq	s_noun_vfreq	s_noun_direct_div	s_noun_indirect_div	p_noun	p_noun_freq	p_noun_nfreq	p_noun_vfreq	p_noun_direct_div	p_noun_indirect_div	sp_freq_diff
astronomer	4.2499	4.2392	0	2.1523	3.4672	astronomers	3.8777	3.8688	0	2.4843	3.4263	0.3722
officer	5.5329	5.5219	1.2041	3.1784	4.1184	officers	5.2925	5.2801	0.699	3.2253	4.0891	0.2404
legionnaire	2.934	2.7185	0	1.4314	2.8591	legionnaires	3.2838	3.2151	0	2.1673	3.2338	-0.3498
credential	3.2516	3.1976	0.8451	1.3424	3.0573	credentials	3.9268	3.9232	0.699	1.8195	3.5996	-0.6752
cup	5.8381	4.8445	2.0569	2.3385	3.8448	cups	4.3079	3.9808	1.2304	1.9494	3.5611	1.5302
draft	5.1748	4.9865	3.743	2.549	3.884	drafts	3.7915	3.7657	2.4232	2.0531	3.4925	1.3833
bluebird	3.5272	2.6739	0	1.3222	2.7686	bluebirds	2.8837	2.2967	0	0.9031	2.4456	0.6436
logarithm	3.4005	3.3965	0	1.4771	3.031	logarithms	3.0103	3.0004	0	1.1461	2.8791	0.3902
siding	4.1215	3.9889	3.3193	2.0645	3.3976	sidings	3.7641	3.7339	0.9031	1.9494	3.2261	0.3574
spring	5.346	5.2044	3.4936	2.5705	4.0964	springs	4.902	4.3158	3.1575	2.356	3.6812	0.444
lioness	3.0512	2.7543	0	1.3802	2.9355	lionesses	2.5527	2.2068	0	1.1761	2.4983	0.4985
chestnut	4.1573	3.847	1.9956	1.4914	3.3531	chestnuts	3.1486	3.0774	0.301	1.3802	3.0461	1.0087
tutor	4.2045	4.1385	2.7016	2.1399	3.5519	tutors	3.5912	3.5577	2.0253	1.9542	3.2856	0.6133
device	5.0077	5	1.2553	2.8915	4.0538	devices	4.9535	4.943	0.9031	2.7767	3.9749	0.0542
caveman	3.1183	2.7451	0	1.5798	2.9566	cavemen	2.7649	2.4871	0	1.3617	2.7987	0.3533
parrot	3.9267	3.7781	1.5911	2.0294	3.4221	parrots	3.512	3.4774	1.1461	1.9191	3.2492	0.4146
treaty	5.0742	4.8291	1.8388	2.7853	3.8659	treaties	4.2166	4.1811	1.7482	2.356	3.6399	0.8577
launch	5.077	4.9027	4.5469	2.5551	3.9083	launches	4.0743	3.7856	3.7563	1.8976	3.4201	1.0026
actuary	2.9279	2.8675	0.6021	1.1761	2.7803	actuaries	2.98	2.5877	1.2304	1.5185	2.6571	-0.0521
plum	3.9104	3.5183	0.7782	1.2788	3.2485	plums	3.167	3.1209	0	1.1761	2.9754	0.7433
brush	4.2117	4.03	2.9731	2.0294	3.6813	brushes	3.5499	3.4374	2.8609	1.6435	3.3201	0.6618
president	5.9522	5.6489	0.9542	3.1703	4.0993	presidents	4.4311	4.3372	0	2.6021	3.6366	1.5211
emoticon	2.2553	2.2227	0	0.6021	2.4472	emoticons	2.5302	2.525	0	0.8451	2.6284	-0.2749
mammoth	3.8698	3.4404	0.4771	1.4472	3.3226	mammoths	3.0228	2.9504	0	1.5441	2.9036	0.847
dynasty	5.0413	4.7756	1.6532	2.6758	3.8203	dynasties	3.9784	3.9346	0	2.2577	3.4673	1.0629
section	5.5666	5.5562	1.5441	3.2707	4.2007	sections	5.0019	5.0017	0.8451	2.9557	4.0199	0.5647
postposition	2.3345	2.3304	0.301	1.0792	2.3324	postpositions	2.659	2.659	0	1.2788	2.444	-0.3245
artefact	3.0945	3.0542	0	1.2041	3.1189	artefacts	3.8869	3.8804	0	1.9031	3.4481	-0.7925
instruction	4.7077	4.6678	0.301	2.5119	3.8582	instructions	4.5569	4.551	0.8451	2.4942	3.9007	0.1508
battalion	5.2487	5.0877	1.0792	2.9325	3.8118	battalions	4.5504	4.5477	1.7853	2.6464	3.629	0.6983
warlock	3.5008	2.8639	0	1.301	3.0099	warlocks	2.7528	2.5211	0	1.301	2.7574	0.748
foal	3.436	3.344	1.1761	1.5563	3.0969	foals	3.4886	3.4414	0.8451	1.6435	3.0414	-0.0525
commuter	4.2998	4.214	1.9191	1.5051	3.4946	commuters	3.7758	3.7683	0.6021	2.1761	3.4009	0.524
selection	5.0737	5.059	0.699	2.7875	3.9721	selections	4.1942	4.1773	0	2.1959	3.5756	0.8795
seagull	3.4809	2.8156	0	1.4914	2.9289	seagulls	3.3145	2.8035	0	1.3424	2.943	0.1664
compiler	4.0202	3.9934	0.9542	2.3674	3.4637	compilers	3.5145	3.5103	0	2.1492	3.2524	0.5056
comparison	4.6841	4.6812	0.7782	2.4099	3.9057	comparisons	4.1118	4.1089	0	2.1673	3.6624	0.5723
girl	5.3613	5.1542	0.8451	3.0931	4.1247	girls	5.3438	5.1568	0.7782	3.1492	4.0696	0.0175
logger	2.9494	2.8651	1.2041	1.3222	2.9274	loggers	3.1965	3.1389	0.4771	1.9243	3.1818	-0.2471
hedgehog	3.7373	3.3918	0	1.6532	3.2393	hedgehogs	2.9647	2.9355	0	1.5798	2.9325	0.7725
fat	4.6127	4.2876	2.0645	2.0453	3.7563	fats	3.7839	3.5149	0.699	1.6335	3.2683	0.8288
business	5.7898	5.715	1.5185	2.9974	4.2189	businesses	4.9747	4.9726	0	2.9085	3.9266	0.8151
tarsier	2.6232	2.4594	0.9542	0.9542	2.4533	tarsiers	2.4654	2.4487	0	1.0414	2.4829	0.1579
grantee	3.0592	3.0124	0.7782	1.1461	2.9395	grantees	2.9122	2.9015	0	1.6335	3.0069	0.147
columnist	4.3557	4.3517	0	2.2041	3.689	columnists	3.2999	3.2871	0	1.8692	3.1886	1.0558
sex	5.2343	5.1829	2.2304	2.3636	4.0993	sexes	4.0267	4.0038	0.6021	2.2648	3.5844	1.2075
barnacle	3.1744	2.781	0	1.0792	2.7612	barnacles	2.9528	2.9294	0	1.2041	2.932	0.2216
craftsman	3.8565	3.6318	0.4771	1.8633	3.3636	craftsmen	3.8769	3.8542	0.301	2.3181	3.4803	-0.0204
necessity	4.2513	4.243	0	2.1614	3.8354	necessities	3.5392	3.5123	0.301	1.4472	3.4354	0.7121
island	5.8147	5.4489	0.699	2.7716	4.1196	islands	5.3976	5.0078	0.6021	2.658	3.9274	0.4171
rescuer	3.0103	2.9854	0.6021	1.6902	3.1209	rescuers	3.4294	3.3959	0	2.2148	3.3398	-0.4191
repeater	3.483	3.449	1.1139	1.7076	3.1581	repeaters	3.2111	3.2095	0	1.6628	3.0426	0.2719
simulation	4.3664	4.3425	0	2.281	3.6734	simulations	3.9004	3.8659	0	2.1673	3.4758	0.466
interest	5.4775	5.4598	3.2538	2.8943	4.1907	interests	4.9933	4.9893	2.6395	2.7427	4.011	0.4842
nasal	4.0639	2.8663	1.2041	1.3424	2.7466	nasals	3.0346	2.9987	1.2041	1.3617	2.7868	1.0292
skateboarder	3.1945	3.1761	0	1.5798	2.9939	skateboarders	2.9304	2.9274	0	1.5911	2.9805	0.2641
uniform	4.7504	4.4511	1.0414	2.2648	3.782	uniforms	4.3603	4.3547	0	2.2625	3.6971	0.3901
exhibition	5.167	5.0911	1.6721	2.7694	3.9256	exhibitions	4.6782	4.6688	1.0414	2.415	3.6659	0.4888
reaper	3.6052	2.8331	0.4771	1.3802	3.0039	reapers	2.9713	2.6937	0	1.5185	2.9494	0.6339
terrier	3.6802	3.3269	0	1.6628	3.1714	terriers	3.5724	3.0853	0	1.9345	2.9777	0.1077
caretaker	4.1015	4.0489	0	2.0453	3.5382	caretakers	3.2204	3.1906	0	1.8195	3.2074	0.8811
campaign	5.539	5.4734	3.6812	3.1113	4.1537	campaigns	4.7263	4.7059	3.0422	2.6702	3.8765	0.8127
snowflake	3.1818	2.7853	0	1.2553	2.9042	snowflakes	2.8035	2.6425	0	1.4314	2.8519	0.3784
