Alexander of_Hesse and_the_Rhine	Louis_II of_Hesse and_the_Rhine
Marie of_Hesse- Darmstadt	Louis_II of_Hesse and_the_Rhine
Julia of_Battenberg of house of von_Hauke	John Maurice of house of von_Hauke
Nicholas of house of Romanov	Constantine Nikolaievitch of_Russia
Olga Constantinovna	Constantine Nikolaievitch of_Russia
Constantine of house of Romanov	Constantine Nikolaievitch of_Russia
Dimitri of house of Romanov	Constantine Nikolaievitch of_Russia
Elizabeth Alexandra of_Saxe-	Joseph of_Saxe- Altenburg
Louis_IV of_Hesse	Charles of_Hesse
Henry #2	Charles of_Hesse
William #2	Charles of_Hesse
Anna	Charles of_Hesse
Charles of house of Cavendish-Bentin	William Charles Augustus of house of Cavendish-Bentin
Caroline Louisa of house of Burnaby	Edwyn of house of Burnaby
Frances Dora of house of Smith	Oswald of house of Smith
Edward John VIII of house of Spencer	Albert Edward John of house of Spencer
Frances of house of Burke_Roche	Edmund Maurice of house of Burke_Roche
Edmund Maurice of house of Burke_Roche	James Boothby of house of Burke_Roche
Frances Ellen of house of Work	Frank of house of Work
Ellen of house of Wood	John of house of Wood
Frank of house of Work	John of house of Work
James Boothby of house of Burke_Roche	Edmund of house of Burke_Roche
Elizabeth Caroline of house of Boothby	James Brownell of house of Boothby
Edmund of house of Burke_Roche	Edward of house of Roche
Cynthia Elinor Beatrix of house of Hamilton	James Albert Edward of house of Hamilton
Katharine of house of Seymour	James Albert Edward of house of Hamilton
James #2	James Albert Edward of house of Hamilton
James Albert Edward of house of Hamilton	James of house of Hamilton
Rosalind Cecilia Caroline of house of Bingham	George of house of Bingham
Ruth Sylvia of house of Gill	William Smith of house of Gill
William Smith of house of Gill	Alexander Ogston of house of Gill
Ruth of house of Littlejohn	David of house of Littlejohn
Delia Peel	Charles Robert of house of Spencer
Albert Edward John of house of Spencer	Charles Robert of house of Spencer
Lavinia Annaly	Charles Robert of house of Spencer
Charles Robert of house of Spencer	Frederick of house of Spencer
Margaret of house of Baring	Edward Charles of house of Baring
William	William_II
Eitel Frederick	William_II
Adalbert	William_II
Augustus William	William_II
Oscar	William_II
Joachim	William_II
Victoria Louise of_Prussia	William_II
George_II of house of Oldenburg	Constantine_I of house of Oldenburg
Alexander_I of house of Oldenburg	Constantine_I of house of Oldenburg
Helen of_Greece	Constantine_I of house of Oldenburg
Paul_I of house of Oldenburg	Constantine_I of house of Oldenburg
Child_5	Constantine_I of house of Oldenburg
Child_6	Constantine_I of house of Oldenburg
Iris of house of Mountbatten	Alexander of_Carisbrooke
Alphonso of_Cavadonga	Alfonso_XIII
James	Alfonso_XIII
Beatrice #2	Alfonso_XIII
Maria Christina	Alfonso_XIII
Don Jamie	Alfonso_XIII
Don Juan of_Spain	Alfonso_XIII
Gonzalo	Alfonso_XIII
Daughter Stillborn	Frederick William_III
Frederick William_IV	Frederick William_III
William_I of_Germany	Frederick William_III
Charlotte of_Prussia	Frederick William_III
Frederica	Frederick William_III
Charles	Frederick William_III
Alexandrine #2	Frederick William_III
Ferdinand #2	Frederick William_III
Louisa of_Prussia	Frederick William_III
Albert of_Prussia	Frederick William_III
Louise	William_I of_Germany
Frederick_III	William_I of_Germany
